ID,Rating,Review,
788,4,exceeded expectations. exceeded expectations.,
789,5,best purchase ever. easy to use.,
790,3,nothing special. waste of money.,
791,5,best purchase ever. wonderful experience.,
792,4,great value. amazing features.,
793,2,customer service was bad. broke easily.,
794,5,exceeded expectations. great value.,
795,4,works perfectly. easy to use.,
796,4,exceeded expectations. best purchase ever.,
797,3,could be better. one star.,
798,2,difficult to use. broke easily.,
799,4,love this product. amazing features. met expectations.,
800,5,exceeded expectations. best purchase ever.,
801,2,worst purchase. one star. works as expected.,
802,4,works perfectly. fantastic. nothing special.,
803,4,wonderful experience. fantastic.,
804,5,wonderful experience. great value. neither good nor bad.,
805,2,terrible product. waste of money.,
806,2,awful. awful.,
807,2,one star. worst purchase.,
808,1,very disappointed. waste of money.,
809,2,broke easily. one star. works as expected.,
810,3,it's okay. amazing features.,
811,2,awful. difficult to use.,
812,5,very satisfied. excellent quality.,
813,2,one star. bad experience. some pros and cons.,
814,3,met expectations. awful.,
815,1,difficult to use. awful.,
816,2,terrible product. does not work.,
817,4,best purchase ever. works perfectly. works as expected.,
818,5,five stars. works perfectly.,
819,4,amazing features. amazing features. neither good nor bad.,
820,3,average product. terrible product.,
821,5,fantastic. works perfectly.,
822,3,nothing special. broke easily.,
823,1,worst purchase. awful.,
824,5,great value. very satisfied.,
825,1,worst purchase. poor quality.,
826,3,average product. difficult to use.,
827,5,works perfectly. excellent quality.,
828,4,love this product. highly recommend. it's okay.,
829,4,excellent quality. wonderful experience.,
830,3,works as expected. best purchase ever.,
831,3,average product. wonderful experience.,
832,5,exceeded expectations. easy to use.,
833,2,would not recommend. bad experience.,
834,4,highly recommend. love this product. works as expected.,
835,1,waste of money. would not recommend.,
836,2,worst purchase. bad experience. could be better.,
837,3,works as expected. worst purchase.,
838,5,great value. best purchase ever.,
839,1,very disappointed. awful.,
840,5,great value. easy to use. average product.,
841,4,wonderful experience. excellent quality.,
842,2,worst purchase. does not work.,
843,4,exceeded expectations. five stars. could be better.,
844,1,one star. difficult to use.,
845,1,customer service was bad. does not work.,
846,3,nothing special. love this product.,
847,5,best purchase ever. excellent quality. met expectations.,
848,2,terrible product. customer service was bad.,
849,2,does not work. broke easily.,
850,3,met expectations. customer service was bad.,
851,3,met expectations. missing features.,
852,5,fantastic. fantastic.,
853,3,could be better. terrible product.,
854,3,decent for the price. would not recommend.,
855,5,love this product. works perfectly.,
856,3,works as expected. bad experience.,
857,5,easy to use. excellent quality.,
858,2,would not recommend. difficult to use. works as expected.,
859,5,wonderful experience. highly recommend.,
860,1,one star. customer service was bad.,
861,2,difficult to use. bad experience.,
862,3,some pros and cons. bad experience.,
863,4,works perfectly. great value.,
864,2,worst purchase. difficult to use.,
865,5,love this product. easy to use.,
866,5,works perfectly. amazing features.,
867,1,poor quality. missing features.,
868,2,customer service was bad. terrible product.,
869,1,would not recommend. would not recommend. it's okay.,
870,4,five stars. very satisfied. average product.,
871,2,terrible product. bad experience. met expectations.,
872,5,wonderful experience. best purchase ever.,
873,2,does not work. difficult to use.,
874,2,customer service was bad. terrible product.,
875,3,some pros and cons. five stars.,
876,2,very disappointed. would not recommend.,
877,1,difficult to use. does not work.,
878,1,customer service was bad. bad experience.,
879,4,excellent quality. love this product.,
880,2,customer service was bad. difficult to use. could be better.,
881,3,works as expected. terrible product.,
882,4,great value. love this product.,
883,3,met expectations. five stars.,
884,1,broke easily. terrible product.,
885,4,excellent quality. wonderful experience.,
886,3,it's okay. very disappointed.,
887,1,waste of money. worst purchase. average product.,
888,5,best purchase ever. wonderful experience.,
889,4,highly recommend. wonderful experience.,
890,3,neither good nor bad. difficult to use.,
891,5,works perfectly. easy to use.,
892,1,difficult to use. does not work.,
893,2,terrible product. bad experience.,
894,2,would not recommend. waste of money.,
895,1,worst purchase. does not work.,
896,1,customer service was bad. broke easily.,
897,2,missing features. difficult to use.,
898,2,missing features. waste of money.,
899,5,fantastic. fantastic.,
900,5,amazing features. five stars. some pros and cons.,
901,4,excellent quality. fantastic.,
902,5,wonderful experience. fantastic. it's okay.,
903,2,bad experience. poor quality. it's okay.,
904,5,fantastic. fantastic.,
905,4,exceeded expectations. five stars. works as expected.,
906,2,worst purchase. worst purchase. it's okay.,
907,2,terrible product. worst purchase.,
908,4,fantastic. works perfectly.,
909,2,would not recommend. waste of money.,
910,4,love this product. amazing features.,
911,2,would not recommend. difficult to use.,
912,3,neither good nor bad. amazing features.,
913,5,highly recommend. wonderful experience.,
914,2,one star. worst purchase.,
915,5,five stars. highly recommend. some pros and cons.,
916,5,excellent quality. highly recommend.,
917,3,nothing special. works perfectly.,
918,2,would not recommend. very disappointed. nothing special.,
919,3,works as expected. exceeded expectations.,
920,5,exceeded expectations. great value. works as expected.,
921,2,waste of money. missing features.,
922,5,fantastic. great value.,
923,2,customer service was bad. difficult to use.,
924,4,best purchase ever. best purchase ever. works as expected.,
925,3,average product. very satisfied.,
926,1,does not work. poor quality. average product.,
927,5,amazing features. five stars.,
928,2,waste of money. would not recommend. nothing special.,
929,5,very satisfied. excellent quality. decent for the price.,
930,4,highly recommend. fantastic.,
931,1,very disappointed. very disappointed.,
932,4,very satisfied. love this product.,
933,3,met expectations. customer service was bad.,
934,1,one star. worst purchase. some pros and cons.,
935,4,exceeded expectations. easy to use. nothing special.,
936,5,excellent quality. love this product.,
937,4,fantastic. fantastic. decent for the price.,
938,2,poor quality. worst purchase.,
939,1,would not recommend. worst purchase.,
940,5,exceeded expectations. very satisfied. could be better.,
941,2,missing features. waste of money. met expectations.,
942,5,best purchase ever. fantastic.,
943,2,one star. poor quality.,
944,4,best purchase ever. fantastic.,
945,4,great value. exceeded expectations.,
946,5,excellent quality. best purchase ever.,
947,4,love this product. highly recommend. decent for the price.,
948,5,fantastic. wonderful experience. nothing special.,
949,5,five stars. best purchase ever.,
950,1,waste of money. very disappointed.,
951,4,excellent quality. wonderful experience.,
952,5,best purchase ever. very satisfied. it's okay.,
953,1,broke easily. missing features. decent for the price.,
954,5,best purchase ever. five stars.,
955,2,one star. poor quality.,
956,3,average product. customer service was bad.,
957,1,bad experience. poor quality.,
958,2,difficult to use. worst purchase. could be better.,
959,3,it's okay. easy to use.,
960,4,easy to use. excellent quality.,
961,3,it's okay. missing features.,
962,5,five stars. highly recommend.,
963,1,difficult to use. waste of money.,
964,4,great value. highly recommend. decent for the price.,
965,5,works perfectly. wonderful experience. nothing special.,
966,4,wonderful experience. five stars. decent for the price.,
967,4,great value. easy to use.,
968,2,waste of money. worst purchase.,
969,3,could be better. love this product.,
970,5,great value. best purchase ever. nothing special.,
971,5,highly recommend. excellent quality. could be better.,
972,1,one star. worst purchase.,
973,1,waste of money. one star.,
974,4,five stars. great value. average product.,
975,1,terrible product. terrible product.,
976,2,does not work. missing features.,
977,5,wonderful experience. excellent quality.,
978,3,neither good nor bad. bad experience.,
979,2,difficult to use. very disappointed. nothing special.,
980,1,customer service was bad. would not recommend.,
981,5,easy to use. highly recommend. nothing special.,
982,1,would not recommend. awful. nothing special.,
983,3,works as expected. terrible product.,
984,3,it's okay. five stars.,
985,1,bad experience. does not work.,
986,3,it's okay. wonderful experience.,
987,1,broke easily. customer service was bad. met expectations.,
988,2,broke easily. difficult to use.,
989,2,customer service was bad. poor quality.,
990,2,missing features. broke easily.,
991,3,nothing special. missing features.,
992,4,very satisfied. easy to use. met expectations.,
993,4,amazing features. five stars.,
994,4,five stars. five stars.,
995,2,worst purchase. terrible product. some pros and cons.,
996,3,average product. worst purchase.,
997,3,met expectations. poor quality.,
998,3,works as expected. five stars.,
999,5,fantastic. excellent quality. neither good nor bad.,
1000,1,waste of money. worst purchase. works as expected.,
